MUNICIPIO_COD;MUNICIPIO_NOME;TIPO;DIA;MES;ANO;RISP;RMBH;VITIMAS
314390;MURIAE;TENTADO;2;1;2018;4;-;1
312410;ESMERALDAS;TENTADO;3;1;2018;2;RMBH;1
317080;VARZEA DA PALMA;TENTADO;6;1;2018;14;-;2
315000;PESCADOR;TENTADO;8;1;2018;15;-;1
310620;BELO HORIZONTE;TENTADO;9;1;2018;1;RMBH;1
316860;TEOFILO OTONI;TENTADO;11;1;2018;15;-;1
310620;BELO HORIZONTE;TENTADO;14;1;2018;1;RMBH;1
314120;MATUTINA;TENTADO;16;1;2018;10;-;1
315460;RIBEIRAO DAS NEVES;TENTADO;16;1;2018;2;RMBH;1
310270;CACHOEIRA DE PAJEU;TENTADO;17;1;2018;15;-;1
313510;JANAUBA;TENTADO;18;1;2018;11;-;2
316860;TEOFILO OTONI;TENTADO;18;1;2018;15;-;1
310620;BELO HORIZONTE;TENTADO;20;1;2018;1;RMBH;1
312770;GOVERNADOR VALADARES;TENTADO;20;1;2018;8;-;1
310620;BELO HORIZONTE;TENTADO;22;1;2018;1;RMBH;1
316970;TURMALINA;TENTADO;22;1;2018;14;-;1
315895;SANTANA DO PARAISO;TENTADO;27;1;2018;12;-;1
313620;JOAO MONLEVADE;TENTADO;28;1;2018;12;-;1
317010;UBERABA;TENTADO;31;1;2018;5;-;1
312760;GOUVEIA;TENTADO;2;2;2018;14;-;2
312760;GOUVEIA;TENTADO;9;2;2018;14;-;2
312760;GOUVEIA;TENTADO;10;2;2018;14;-;1
311000;CAETE;TENTADO;11;2;2018;3;RMBH;1
311455;CARNEIRINHO;TENTADO;11;2;2018;5;-;1
310610;BELMIRO BRAGA;TENTADO;13;2;2018;4;-;1
315120;PIRAPORA;TENTADO;13;2;2018;14;-;1
316720;SETE LAGOAS;TENTADO;13;2;2018;19;-;1
316870;TIMOTEO;TENTADO;13;2;2018;12;-;1
314675;PALMOPOLIS;TENTADO;18;2;2018;15;-;2
317020;UBERLANDIA;TENTADO;20;2;2018;9;-;2
314090;MATIPO;TENTADO;24;2;2018;12;-;1
316680;SERRA DO SALITRE;TENTADO;24;2;2018;10;-;1
314330;MONTES CLAROS;TENTADO;25;2;2018;11;-;1
314790;PASSOS;TENTADO;25;2;2018;18;-;1
312980;IBIRITE;TENTADO;28;2;2018;2;RMBH;1
315150;PIUMHI;TENTADO;28;2;2018;18;-;1
313550;JEQUERI;TENTADO;1;3;2018;12;-;1
311205;CANTAGALO;TENTADO;3;3;2018;8;-;1
310620;BELO HORIZONTE;TENTADO;6;3;2018;1;RMBH;2
311230;CAPELINHA;TENTADO;6;3;2018;14;-;1
310375;ARAPORA;TENTADO;10;3;2018;9;-;1
313440;ITURAMA;TENTADO;10;3;2018;5;-;1
313670;JUIZ DE FORA;TENTADO;11;3;2018;4;-;1
315670;SABARA;TENTADO;12;3;2018;3;RMBH;2
315725;SANTA BARBARA DO LESTE;TENTADO;13;3;2018;12;-;1
312770;GOVERNADOR VALADARES;TENTADO;15;3;2018;8;-;1
311860;CONTAGEM;TENTADO;16;3;2018;2;RMBH;1
312160;DIAMANTINA;TENTADO;18;3;2018;14;-;1
312660;FRANCISCO DUMONT;TENTADO;18;3;2018;11;-;1
316720;SETE LAGOAS;TENTADO;21;3;2018;19;-;1
310020;ABAETE;TENTADO;22;3;2018;7;-;1
314460;NEPOMUCENO;TENTADO;24;3;2018;6;-;1
310980;CACHOEIRA DOURADA;TENTADO;25;3;2018;9;-;1
313130;IPATINGA;TENTADO;25;3;2018;12;-;1
314330;MONTES CLAROS;TENTADO;26;3;2018;11;-;1
310620;BELO HORIZONTE;TENTADO;2;4;2018;1;RMBH;1
310670;BETIM;TENTADO;4;4;2018;2;RMBH;1
310940;BURITIZEIRO;TENTADO;5;4;2018;14;-;1
310620;BELO HORIZONTE;TENTADO;6;4;2018;1;RMBH;2
315850;SANTANA DE PIRAPAMA;TENTADO;6;4;2018;19;-;1
310620;BELO HORIZONTE;TENTADO;7;4;2018;1;RMBH;1
317103;VERDELANDIA;TENTADO;7;4;2018;11;-;1
317120;VESPASIANO;TENTADO;8;4;2018;3;RMBH;1
317020;UBERLANDIA;TENTADO;10;4;2018;9;-;1
315460;RIBEIRAO DAS NEVES;TENTADO;13;4;2018;2;RMBH;1
310240;ALVORADA DE MINAS;TENTADO;15;4;2018;14;-;1
317010;UBERABA;TENTADO;15;4;2018;5;-;1
314520;NOVA SERRANA;TENTADO;17;4;2018;7;-;1
315780;SANTA LUZIA;TENTADO;17;4;2018;3;RMBH;1
312770;GOVERNADOR VALADARES;TENTADO;18;4;2018;8;-;1
310620;BELO HORIZONTE;TENTADO;19;4;2018;1;RMBH;1
311860;CONTAGEM;TENTADO;19;4;2018;2;RMBH;1
312090;CURVELO;TENTADO;21;4;2018;14;-;1
311860;CONTAGEM;TENTADO;22;4;2018;2;RMBH;1
313130;IPATINGA;TENTADO;24;4;2018;12;-;1
315760;SANTA FE DE MINAS;TENTADO;25;4;2018;14;-;1
313510;JANAUBA;TENTADO;27;4;2018;11;-;1
317020;UBERLANDIA;TENTADO;29;4;2018;9;-;1
317120;VESPASIANO;TENTADO;29;4;2018;3;RMBH;1
310620;BELO HORIZONTE;TENTADO;6;5;2018;1;RMBH;1
314710;PARA DE MINAS;TENTADO;6;5;2018;7;-;1
310620;BELO HORIZONTE;TENTADO;8;5;2018;1;RMBH;1
314700;PARACATU;TENTADO;10;5;2018;16;-;1
317120;VESPASIANO;TENTADO;10;5;2018;3;RMBH;1
311680;COLUNA;TENTADO;12;5;2018;8;-;1
311860;CONTAGEM;TENTADO;15;5;2018;2;RMBH;1
314100;MATO VERDE;TENTADO;15;5;2018;11;-;1
310620;BELO HORIZONTE;TENTADO;16;5;2018;1;RMBH;1
314800;PATOS DE MINAS;TENTADO;20;5;2018;10;-;1
317020;UBERLANDIA;TENTADO;20;5;2018;9;-;1
315600;RIO VERMELHO;TENTADO;21;5;2018;8;-;1
316130;SAO FRANCISCO DE SALES;TENTADO;23;5;2018;5;-;1
312770;GOVERNADOR VALADARES;TENTADO;24;5;2018;8;-;1
310620;BELO HORIZONTE;TENTADO;26;5;2018;1;RMBH;1
313270;ITAMBACURI;TENTADO;30;5;2018;15;-;1
312770;GOVERNADOR VALADARES;TENTADO;31;5;2018;8;-;1
313180;ITABIRINHA;TENTADO;31;5;2018;8;-;1
317200;VISCONDE DO RIO BRANCO;TENTADO;1;6;2018;4;-;1
310620;BELO HORIZONTE;TENTADO;6;6;2018;1;RMBH;1
315460;RIBEIRAO DAS NEVES;TENTADO;10;6;2018;2;RMBH;1
311860;CONTAGEM;TENTADO;11;6;2018;2;RMBH;1
313260;ITAMARATI DE MINAS;TENTADO;12;6;2018;4;-;1
315350;ALTO JEQUITIBA;TENTADO;13;6;2018;12;-;1
310630;BELO ORIENTE;TENTADO;13;6;2018;12;-;1
313130;IPATINGA;TENTADO;14;6;2018;12;-;1
313130;IPATINGA;TENTADO;15;6;2018;12;-;1
316556;SEM-PEIXE;TENTADO;15;6;2018;12;-;1
315690;SACRAMENTO;TENTADO;16;6;2018;5;-;1
310690;BICAS;TENTADO;17;6;2018;4;-;1
314800;PATOS DE MINAS;TENTADO;21;6;2018;10;-;1
310620;BELO HORIZONTE;TENTADO;23;6;2018;1;RMBH;1
310445;ARICANDUVA;TENTADO;24;6;2018;14;-;1
313670;JUIZ DE FORA;TENTADO;25;6;2018;4;-;1
315210;PONTE NOVA;TENTADO;25;6;2018;12;-;1
317010;UBERABA;TENTADO;27;6;2018;5;-;1
310620;BELO HORIZONTE;TENTADO;28;6;2018;1;RMBH;2
315790;SANTA MARGARIDA;TENTADO;28;6;2018;12;-;1
312707;FRUTA DE LEITE;TENTADO;30;6;2018;11;-;1
313960;MANTENA;TENTADO;2;7;2018;8;-;1
