TENTADO_CONSUMADO;DATA_FATO;MES;ANO_FATO;MUNICIPIO_FATO;RISP;RMBH;QTD_VITIMAS
TENTADO;2020-01-01;1;2020;CAETE;3;RMBH;1
TENTADO;2020-01-01;1;2020;FRONTEIRA;5;-;1
TENTADO;2020-01-02;1;2020;MONTES CLAROS;11;-;1
TENTADO;2020-01-04;1;2020;BELO HORIZONTE;1;RMBH;1
TENTADO;2020-01-04;1;2020;EXTREMA;17;-;1
TENTADO;2020-01-06;1;2020;ERVALIA;4;-;1
TENTADO;2020-01-06;1;2020;UBERLANDIA;9;-;1
TENTADO;2020-01-08;1;2020;CHAPADA GAUCHA;16;-;1
TENTADO;2020-01-10;1;2020;BELO HORIZONTE;1;RMBH;1
TENTADO;2020-01-11;1;2020;PERDOES;6;-;1
TENTADO;2020-01-12;1;2020;SANTA LUZIA;3;RMBH;1
TENTADO;2020-01-17;1;2020;PECANHA;8;-;1
TENTADO;2020-01-18;1;2020;SAO SEBASTIAO PARAISO;18;-;1
TENTADO;2020-01-22;1;2020;MIRABELA;11;-;1
TENTADO;2020-01-23;1;2020;UBERLANDIA;9;-;1
TENTADO;2020-01-26;1;2020;CAMPOS ALTOS;5;-;1
TENTADO;2020-01-28;1;2020;JUIZ DE FORA;4;-;1
TENTADO;2020-01-29;1;2020;CONCEICAO DO MATO DENTRO;14;-;1
TENTADO;2020-02-01;2;2020;CONSELHEIRO PENA;8;-;1
TENTADO;2020-02-01;2;2020;GUANHAES;8;-;1
TENTADO;2020-02-04;2;2020;NOVA SERRANA;7;-;1
TENTADO;2020-02-06;2;2020;BELO HORIZONTE;1;RMBH;1
TENTADO;2020-02-07;2;2020;ENGENHEIRO CALDAS;8;-;1
TENTADO;2020-02-08;2;2020;RIO PIRACICABA;12;-;1
TENTADO;2020-02-09;2;2020;BELO HORIZONTE;1;RMBH;1
TENTADO;2020-02-09;2;2020;PARA DE MINAS;7;-;1
TENTADO;2020-02-12;2;2020;SANTA VITORIA;9;-;1
TENTADO;2020-02-14;2;2020;DIAMANTINA;14;-;1
TENTADO;2020-02-14;2;2020;LAGOA DA PRATA;7;-;1
TENTADO;2020-02-15;2;2020;POMPEU;7;-;1
TENTADO;2020-02-16;2;2020;PIRANGA;13;-;1
TENTADO;2020-02-16;2;2020;UBERLANDIA;9;-;1
TENTADO;2020-02-17;2;2020;IPANEMA;12;-;1
TENTADO;2020-02-21;2;2020;ALVORADA DE MINAS;14;-;1
TENTADO;2020-02-22;2;2020;CONTAGEM;2;RMBH;2
TENTADO;2020-02-24;2;2020;BELO HORIZONTE;1;RMBH;1
TENTADO;2020-02-25;2;2020;FRUTAL;5;-;1
TENTADO;2020-02-26;2;2020;COLUNA;8;-;1
TENTADO;2020-02-28;2;2020;BETIM;2;RMBH;1
TENTADO;2020-02-28;2;2020;ITABIRA;12;-;1
TENTADO;2020-02-29;2;2020;POCOS DE CALDAS;18;-;1
TENTADO;2020-03-03;3;2020;PEQUERI;4;-;1
TENTADO;2020-03-04;3;2020;IBIRITE;2;RMBH;1
TENTADO;2020-03-05;3;2020;SABARA;3;RMBH;1
TENTADO;2020-03-06;3;2020;CONTAGEM;2;RMBH;1
